="Regression Results"

="farm_at_14          ",="-0.310"
="                    ",="(0.467)"

="age_stopped_living_w_parent",="-0.039***"
="                    ",="(0.010)"

="reside_parent_type=0",="0.000"
="                    ",="(.)"

="reside_parent_type=1",="0.812***"
="                    ",="(0.096)"

="reside_parent_type=2",="0.192*"
="                    ",="(0.111)"

="reside_parent_type=3",="1.367***"
="                    ",="(0.400)"

="mother_work_1978    ",="-0.079**"
="                    ",="(0.031)"

="father_work_1978    ",="0.120***"
="                    ",="(0.044)"

="cultural_influence  ",="0.893***"
="                    ",="(0.097)"

="foreign_lang_child  ",="0.310***"
="                    ",="(0.079)"

="#sibling            ",="-0.085***"
="                    ",="(0.014)"

="#sibling_school     ",="0.163***"
="                    ",="(0.021)"

="Constant            ",="-2.025***"
="                    ",="(0.492)"

="6                   ",=""
="teen_mom            ",="-0.610***"
="                    ",="(0.086)"

="m_HGC               ",="0.193***"
="                    ",="(0.027)"

="f_HGC               ",="0.236***"
="                    ",="(0.019)"

="phispanic           ",="0.017"
="                    ",="(0.106)"

="pblack              ",="0.101"
="                    ",="(0.089)"

="urban_at_14         ",="-0.943*"
="                    ",="(0.524)"

="rural_at_14         ",="-0.870*"
="                    ",="(0.528)"

="farm_at_14          ",="-0.630"
="                    ",="(0.539)"

="age_stopped_living_w_parent",="-0.056***"
="                    ",="(0.013)"

="reside_parent_type=0",="0.000"
="                    ",="(.)"

="reside_parent_type=1",="0.795***"
="                    ",="(0.131)"

="reside_parent_type=2",="-0.221"
="                    ",="(0.146)"

="reside_parent_type=3",="1.103***"
="                    ",="(0.395)"

="mother_work_1978    ",="0.046"
="                    ",="(0.036)"

="father_work_1978    ",="-0.015"
="                    ",="(0.058)"

="cultural_influence  ",="0.772***"
="                    ",="(0.126)"

="foreign_lang_child  ",="0.190**"
="                    ",="(0.092)"

="#sibling            ",="-0.105***"
="                    ",="(0.019)"

="#sibling_school     ",="0.199***"
="                    ",="(0.026)"

="Constant            ",="-2.549***"
="                    ",="(0.577)"

="7                   ",=""
="teen_mom            ",="-0.453***"
="                    ",="(0.120)"

="m_HGC               ",="0.264***"
="                    ",="(0.037)"

="f_HGC               ",="0.166***"
="                    ",="(0.025)"

="phispanic           ",="0.214"
="                    ",="(0.143)"

="pblack              ",="-0.067"
="                    ",="(0.131)"

="urban_at_14         ",="-0.864"
="                    ",="(0.813)"

="rural_at_14         ",="-0.633"
="                    ",="(0.821)"

="farm_at_14          ",="-0.506"
="                    ",="(0.831)"

="age_stopped_living_w_parent",="-0.027"
="                    ",="(0.017)"

="reside_parent_type=0",="0.000"
="                    ",="(.)"

="reside_parent_type=1",="0.416**"
="                    ",="(0.174)"

="reside_parent_type=2",="-0.110"
="                    ",="(0.200)"

="reside_parent_type=3",="0.949*"
="                    ",="(0.529)"

="mother_work_1978    ",="-0.035"
="                    ",="(0.049)"

="father_work_1978    ",="-0.064"
="                    ",="(0.086)"

="cultural_influence  ",="0.513***"
="                    ",="(0.178)"

="foreign_lang_child  ",="0.077"
="                    ",="(0.132)"

="#sibling            ",="-0.120***"
="                    ",="(0.029)"

="#sibling_school     ",="0.191***"
="                    ",="(0.037)"

="Constant            ",="-3.419***"
="                    ",="(0.890)"

="8                   ",=""
="teen_mom            ",="-0.217"
="                    ",="(0.146)"

="m_HGC               ",="0.241***"
="                    ",="(0.044)"

="f_HGC               ",="0.177***"
="                    ",="(0.033)"

="phispanic           ",="-0.025"
="                    ",="(0.175)"

="pblack              ",="-0.275"
="                    ",="(0.172)"

="urban_at_14         ",="-1.173***"
="                    ",="(0.448)"

="rural_at_14         ",="-0.963**"
="                    ",="(0.451)"

="farm_at_14          ",="-0.856*"
="                    ",="(0.484)"

="age_stopped_living_w_parent",="-0.030"
="                    ",="(0.025)"

="reside_parent_type=0",="0.000"
="                    ",="(.)"

="reside_parent_type=1",="0.556**"
="                    ",="(0.221)"

="reside_parent_type=2",="-0.150"
="                    ",="(0.263)"

="reside_parent_type=3",="-22.849"
="                    ",="(1430.776)"

="mother_work_1978    ",="-0.081"
="                    ",="(0.060)"

="father_work_1978    ",="0.223**"
="                    ",="(0.111)"

="cultural_influence  ",="0.552**"
="                    ",="(0.240)"

="foreign_lang_child  ",="0.216"
="                    ",="(0.150)"

="#sibling            ",="-0.213***"
="                    ",="(0.038)"

="#sibling_school     ",="0.270***"
="                    ",="(0.050)"

="Constant            ",="-3.703"
="                    ",="(.)"

="9                   ",=""
="teen_mom            ",="-1.000***"
="                    ",="(0.255)"

="m_HGC               ",="0.093"
="                    ",="(0.072)"

="f_HGC               ",="0.300***"
="                    ",="(0.048)"

="phispanic           ",="-0.064"
="                    ",="(0.237)"

="pblack              ",="-0.179"
="                    ",="(0.250)"

="urban_at_14         ",="-0.637"
="                    ",="(0.668)"

="rural_at_14         ",="-0.290"
="                    ",="(0.702)"

="farm_at_14          ",="-0.886"
="                    ",="(0.757)"

="age_stopped_living_w_parent",="-0.016"
="                    ",="(0.035)"

="reside_parent_type=0",="0.000"
="                    ",="(.)"

="reside_parent_type=1",="0.311"
="                    ",="(0.298)"

="reside_parent_type=2",="1.052***"
="                    ",="(0.361)"

="reside_parent_type=3",="0.000"
="                    ",="(.)"

="mother_work_1978    ",="-0.245***"
="                    ",="(0.091)"

="father_work_1978    ",="0.401***"
="                    ",="(0.145)"

="cultural_influence  ",="-0.566"
="                    ",="(0.387)"

="foreign_lang_child  ",="0.005"
="                    ",="(0.218)"

="#sibling            ",="-0.299***"
="                    ",="(0.059)"

="#sibling_school     ",="0.389***"
="                    ",="(0.085)"

="Constant            ",="-4.039"
="                    ",="(.)"

="Observations        ",="6643"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
